nsgName,nsgResourceGroup,ruleName,access,protocol,direction,priority,sourceAddresses,sourcePorts,destAddresses,destPorts,description
nsg-int-prd-jpe-01,mytmeic,AllowOnpreRdpInbound,allow,*,inbound,1000,10.248.0.0/17;10.248.128.0/20;10.248.147.0/24;10.248.148.0/22;10.248.152.0/21;10.248.160.0/19;10.248.192.0/18,*,10.248.145.4,3389,
nsg-int-prd-jpe-01,mytmeic,AllowDsaInbound,allow,TCP,inbound,1010,10.248.144.0/25;10.248.144.128/26;10.248.144.192/27;10.248.144.224/28,*,10.248.145.4,443;4119;4120;4122,
nsg-int-prd-jpe-01,mytmeic,DenyAllInbound,deny,*,inbound,4096,*,*,*,*,
nsg-ext-prd-jpe-01,mytmeic,AllowBastionRdpInbound,allow,*,inbound,1000,10.248.146.160/27,*,VirtualNetwork,3389,
nsg-ext-prd-jpe-01,mytmeic,AllowDsmInbound,allow,TCP,inbound,1010,10.248.145.4/32,*,VirtualNetwork,4118,
nsg-ext-prd-jpe-01,mytmeic,AllowAgwHttpsInbound,allow,TCP,inbound,1020,10.248.144.240/28,*,VirtualNetwork,443,
nsg-ext-prd-jpe-01,mytmeic,DenyAllInbound,deny,*,inbound,4096,*,*,*,*,
nsg-AzureBastionSubnet,mytmeic,AllowHttpsInbound,allow,TCP,inbound,1000,Internet,*,*,443,
nsg-AzureBastionSubnet,mytmeic,AllowGatewayManagerInbound,allow,TCP,inbound,1010,GatewayManager,*,*,443,
nsg-AzureBastionSubnet,mytmeic,AllowAzureLoadBalancerInBound,allow,TCP,inbound,1020,AzureLoadBalancer,*,*,443,
nsg-AzureBastionSubnet,mytmeic,AllowABastionHostCommunication,allow,*,inbound,1030,VirtualNetwork,*,VirtualNetwork,8080;5701,
nsg-AzureBastionSubnet,mytmeic,DenyAllInbound,deny,*,inbound,4096,*,*,*,*,
nsg-AzureBastionSubnet,mytmeic,AllowSshRdpOutbound,allow,*,outbound,1000,*,*,VirtualNetwork,22;3389,
nsg-AzureBastionSubnet,mytmeic,AllowAzureCloudOutbound,allow,TCP,outbound,1010,*,*,AzureCloud,443,
nsg-AzureBastionSubnet,mytmeic,AllowBastionCommunication,allow,*,outbound,1020,VirtualNetwork,*,VirtualNetwork,8080;5701,
nsg-AzureBastionSubnet,mytmeic,AllowGetSessionInformation,allow,*,outbound,1030,*,*,Internet,80,
nsg-AzureBastionSubnet,mytmeic,DenyAllOutbound,deny,*,outbound,4096,*,*,*,*,
nsg-agw-prd-jpe-01,mytmeic,AllowAgwHealthCheck,allow,*,inbound,1000,GatewayManager,*,*,65200-65535,
nsg-agw-prd-jpe-01,mytmeic,AllowHttpsInbound,allow,TCP,inbound,1010,Internet,*,*,443,
nsg-agw-prd-jpe-01,mytmeic,AllowAzureLoadBalancerInBound,allow,*,inbound,1020,AzureLoadBalancer,*,*,*,
nsg-agw-prd-jpe-01,mytmeic,DenyAllInbound,deny,*,inbound,4096,*,*,*,*,
